name,post_office_count
AK, 542},
AL, 5443,
AR, 4948,
AZ, 887,
CA, 4297,
CO, 2438,
CT, 780,
DC, 32,
DE, 256,
FL, 3014,
GA, 5754,
HI, 192,
IA, 3982,
ID, 1324,
IL, 5358,
IN, 4138,
KS, 4260,
KY, 7432,
LA, 3075,
MA, 1332,
MD, 2174,
ME, 2151,
MI, 4497,
MN, 3740,
MO, 6232,
MS, 4320,
MT, 2075,
NC, 6547,
ND, 1874,
NE, 2746,
NH, 896,
NJ, 1531,
NM, 1511,
NV, 709,
NY, 6111,
OH, 5537,
OK, 3428,
OR, 2179,
PA, 8534,
RI, 244,
SC, 3133,
SD, 1983,
TN, 6025,
TX, 7772,
UT, 810,
VA, 7085,
VT, 783,
WA, 2289,
WI, 3804,
WV, 4926,
WY, 1003
